task,segment,step,time_s,q1,q2,q3,q4,q5,q6,selfDist_mm,selfCollision,envCollision,tcpX_mm,tcpY_mm,tcpZ_mm
1,3,0,0.0000,147.614,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1603.3,-741.8,815.5
1,3,10,0.0400,147.615,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1603.3,-741.7,815.5
1,3,20,0.0800,147.623,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1603.4,-741.5,815.5
1,3,30,0.1201,147.642,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1603.7,-741.0,815.5
1,3,40,0.1601,147.680,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1604.1,-739.9,815.5
1,3,50,0.2001,147.741,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1604.9,-738.2,815.5
1,3,60,0.2401,147.830,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1606.1,-735.7,815.5
1,3,70,0.2801,147.952,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1607.6,-732.3,815.5
1,3,80,0.3201,148.110,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1609.7,-727.9,815.5
1,3,90,0.3602,148.310,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1612.2,-722.3,815.5
1,3,100,0.4002,148.554,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1615.2,-715.4,815.5
1,3,110,0.4402,148.846,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1618.9,-707.1,815.5
1,3,120,0.4802,149.189,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1623.1,-697.4,815.5
1,3,130,0.5202,149.586,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1627.9,-686.2,815.5
1,3,140,0.5603,150.038,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1633.2,-673.3,815.5
1,3,150,0.6003,150.549,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1639.2,-658.7,815.5
1,3,160,0.6403,151.120,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1645.6,-642.4,815.5
1,3,170,0.6803,151.752,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1652.6,-624.1,815.5
1,3,180,0.7203,152.448,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1660.1,-604.0,815.5
1,3,190,0.7603,153.208,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1668.0,-582.0,815.5
1,3,200,0.8004,154.033,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1676.2,-557.9,815.5
1,3,210,0.8404,154.924,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1684.6,-531.8,815.5
1,3,220,0.8804,155.880,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1693.3,-503.6,815.5
1,3,230,0.9204,156.903,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1702.0,-473.3,815.5
1,3,240,0.9604,157.992,-42.000,38.000,0.000,100.000,0.000,49.12,0,0,1710.7,-440.8,815.5
